date,time,age,confirmed
2020-03-02,0,0s,32
2020-03-02,0,10s,169
2020-03-02,0,20s,1235
2020-03-02,0,30s,506
2020-03-02,0,40s,633
2020-03-02,0,50s,834
2020-03-02,0,60s,530
2020-03-02,0,70s,192
2020-03-02,0,80s,81
2020-03-03,0,0s,34
2020-03-03,0,10s,204
2020-03-03,0,20s,1417
2020-03-03,0,30s,578
2020-03-03,0,40s,713
2020-03-03,0,50s,952
2020-03-03,0,60s,597
2020-03-03,0,70s,224
2020-03-03,0,80s,93
2020-03-04,0,0s,34
2020-03-04,0,10s,233
2020-03-04,0,20s,1575
2020-03-04,0,30s,631
2020-03-04,0,40s,790
2020-03-04,0,50s,1051
2020-03-04,0,60s,646
2020-03-04,0,70s,260
2020-03-04,0,80s,108
2020-03-05,0,0s,38
2020-03-05,0,10s,257
2020-03-05,0,20s,1727
2020-03-05,0,30s,659
2020-03-05,0,40s,847
2020-03-05,0,50s,1127
2020-03-05,0,60s,699
2020-03-05,0,70s,288
2020-03-05,0,80s,124
2020-03-06,0,0s,45
2020-03-06,0,10s,292
2020-03-06,0,20s,1877
2020-03-06,0,30s,693
2020-03-06,0,40s,889
2020-03-06,0,50s,1217
2020-03-06,0,60s,763
2020-03-06,0,70s,340
2020-03-06,0,80s,168
2020-03-07,0,0s,52
2020-03-07,0,10s,327
2020-03-07,0,20s,2038
2020-03-07,0,30s,727
2020-03-07,0,40s,941
2020-03-07,0,50s,1287
2020-03-07,0,60s,830
2020-03-07,0,70s,384
2020-03-07,0,80s,191
2020-03-08,0,0s,58
2020-03-08,0,10s,360
2020-03-08,0,20s,2133
2020-03-08,0,30s,760
2020-03-08,0,40s,975
2020-03-08,0,50s,1349
2020-03-08,0,60s,878
2020-03-08,0,70s,409
2020-03-08,0,80s,212
2020-03-09,0,0s,66
2020-03-09,0,10s,381
2020-03-09,0,20s,2190
2020-03-09,0,30s,779
2020-03-09,0,40s,1005
2020-03-09,0,50s,1391
2020-03-09,0,60s,916
2020-03-09,0,70s,438
2020-03-09,0,80s,216
2020-03-10,0,0s,67
2020-03-10,0,10s,393
2020-03-10,0,20s,2213
2020-03-10,0,30s,789
2020-03-10,0,40s,1030
2020-03-10,0,50s,1416
2020-03-10,0,60s,929
2020-03-10,0,70s,454
2020-03-10,0,80s,222
2020-03-11,0,0s,75
2020-03-11,0,10s,405
2020-03-11,0,20s,2238
2020-03-11,0,30s,804
2020-03-11,0,40s,1082
2020-03-11,0,50s,1472
2020-03-11,0,60s,960
2020-03-11,0,70s,483
2020-03-11,0,80s,236
2020-03-12,0,0s,76
2020-03-12,0,10s,412
2020-03-12,0,20s,2261
2020-03-12,0,30s,812
2020-03-12,0,40s,1101
2020-03-12,0,50s,1495
2020-03-12,0,60s,972
2020-03-12,0,70s,497
2020-03-12,0,80s,243
2020-03-13,0,0s,77
2020-03-13,0,10s,421
2020-03-13,0,20s,2274
2020-03-13,0,30s,823
2020-03-13,0,40s,1117
2020-03-13,0,50s,1523
2020-03-13,0,60s,985
2020-03-13,0,70s,506
2020-03-13,0,80s,253
2020-03-14,0,0s,81
2020-03-14,0,10s,424
2020-03-14,0,20s,2287
2020-03-14,0,30s,833
2020-03-14,0,40s,1133
2020-03-14,0,50s,1551
