date,time,province,confirmed,released,deceased
2020-01-31,16,Seoul,4,0,0
2020-01-31,16,Busan,0,0,0
2020-01-31,16,Daegu,0,0,0
2020-01-31,16,Incheon,1,0,0
2020-01-31,16,Gwangju,0,0,0
2020-01-31,16,Daejeon,0,0,0
2020-01-31,16,Ulsan,0,0,0
2020-01-31,16,Sejong,0,0,0
2020-01-31,16,Gyeonggi-do,5,0,0
2020-01-31,16,Gangwon-do,0,0,0
2020-01-31,16,Chungcheongbuk-do,0,0,0
2020-01-31,16,Chungcheongnam-do,0,0,0
2020-01-31,16,Jeollabuk-do,1,0,0
2020-01-31,16,Jeollanam-do,0,0,0
2020-01-31,16,Gyeongsangbuk-do,0,0,0
2020-01-31,16,Gyeongsangnam-do,0,0,0
2020-01-31,16,Jeju-do,0,0,0
2020-02-29,16,Seoul,77,9,0
2020-02-29,16,Busan,80,0,0
2020-02-29,16,Daegu,2236,3,10
2020-02-29,16,Incheon,6,1,0
2020-02-29,16,Gwangju,9,2,0
2020-02-29,16,Daejeon,13,0,0
2020-02-29,16,Ulsan,17,0,0
2020-02-29,16,Sejong,1,0,0
2020-02-29,16,Gyeonggi-do,82,8,1
2020-02-29,16,Gangwon-do,7,0,0
2020-02-29,16,Chungcheongbuk-do,10,0,0
2020-02-29,16,Chungcheongnam-do,55,0,0
2020-02-29,16,Jeollabuk-do,5,1,0
2020-02-29,16,Jeollanam-do,3,0,0
2020-02-29,16,Gyeongsangbuk-do,488,1,6
2020-02-29,16,Gyeongsangnam-do,59,1,0
2020-02-29,16,Jeju-do,2,0,0
2020-03-31,0,Seoul,450,107,0
2020-03-31,0,Busan,119,87,3
2020-03-31,0,Daegu,6684,3946,114
2020-03-31,0,Incheon,64,16,0
2020-03-31,0,Gwangju,20,14,0
2020-03-31,0,Daejeon,36,18,0
2020-03-31,0,Ulsan,39,19,0
2020-03-31,0,Sejong,46,12,0
2020-03-31,0,Gyeonggi-do,476,166,6
2020-03-31,0,Gangwon-do,36,23,1
2020-03-31,0,Chungcheongbuk-do,44,22,0
2020-03-31,0,Chungcheongnam-do,128,90,0
2020-03-31,0,Jeollabuk-do,13,7,0
2020-03-31,0,Jeollanam-do,9,3,0
2020-03-31,0,Gyeongsangbuk-do,1300,808,38
2020-03-31,0,Gyeongsangnam-do,96,67,0
2020-03-31,0,Jeju-do,9,3,0
2020-04-30,0,Seoul,633,453,2
2020-04-30,0,Busan,137,116,3
2020-04-30,0,Daegu,6852,6144,172
2020-04-30,0,Incheon,93,68,0
2020-04-30,0,Gwangju,30,27,0
2020-04-30,0,Daejeon,40,35,0
2020-04-30,0,Ulsan,43,37,1
2020-04-30,0,Sejong,46,38,0
2020-04-30,0,Gyeonggi-do,676,486,15
2020-04-30,0,Gangwon-do,53,40,2
2020-04-30,0,Chungcheongbuk-do,45,41,0
2020-04-30,0,Chungcheongnam-do,143,127,0
2020-04-30,0,Jeollabuk-do,18,11,0
2020-04-30,0,Jeollanam-do,15,11,0
2020-04-30,0,Gyeongsangbuk-do,1365,1147,52
2020-04-30,0,Gyeongsangnam-do,117,97,0
2020-04-30,0,Jeju-do,13,8,0
2020-05-31,0,Seoul,861,627,4
2020-05-31,0,Busan,147,138,3
2020-05-31,0,Daegu,6883,6607,185
2020-05-31,0,Incheon,206,94,0
2020-05-31,0,Gwangju,32,30,0
2020-05-31,0,Daejeon,46,42,1
2020-05-31,0,Ulsan,52,45,1
2020-05-31,0,Sejong,47,47,0
2020-05-31,0,Gyeonggi-do,840,650,19
2020-05-31,0,Gangwon-do,57,50,3
2020-05-31,0,Chungcheongbuk-do,60,49,0
2020-05-31,0,Chungcheongnam-do,146,142,0
2020-05-31,0,Jeollabuk-do,21,19,0
2020-05-31,0,Jeollanam-do,19,17,0
2020-05-31,0,Gyeongsangbuk-do,1379,1295,54
2020-05-31,0,Gyeongsangnam-do,123,121,0
2020-05-31,0,Jeju-do,15,13,0
