code,province,date,avg_temp,avg_relative_humidity
10000,Seoul,2016-01-01,1.2,73
11000,Busan,2016-01-01,5.3,52.1
12000,Daegu,2016-01-01,1.7,70.5
13000,Gwangju,2016-01-01,3.2,73.1
14000,Incheon,2016-01-01,3.1,83.9
15000,Daejeon,2016-01-01,1.6,77.4
16000,Ulsan,2016-01-01,4,53.3
20000,Gyeonggi-do,2016-01-01,1.6,80.1
30000,Gangwon-do,2016-01-01,5.1,33
40000,Chungcheongbuk-do,2016-01-01,-1,79.4
41000,Chungcheongnam-do,2016-01-01,2.6,86.3
50000,Jeollabuk-do,2016-01-01,2.8,74.4
51000,Jeollanam-do,2016-01-01,4.5,54.5
60000,Gyeongsangbuk-do,2016-01-01,3.5,47.6
61000,Gyeongsangnam-do,2016-01-01,2.5,59.1
70000,Jeju-do,2016-01-01,8.2,60.1
10000,Seoul,2016-01-02,5.7,76.9
11000,Busan,2016-01-02,8.1,62.9
12000,Daegu,2016-01-02,3,74.8
13000,Gwangju,2016-01-02,6.5,78.6
14000,Incheon,2016-01-02,7.4,93.1
15000,Daejeon,2016-01-02,6.6,76.5
16000,Ulsan,2016-01-02,5.6,61
20000,Gyeonggi-do,2016-01-02,5.8,83.1
30000,Gangwon-do,2016-01-02,9.1,43.8
40000,Chungcheongbuk-do,2016-01-02,3.5,74.9
41000,Chungcheongnam-do,2016-01-02,6.5,91.4
50000,Jeollabuk-do,2016-01-02,7.6,73.3
51000,Jeollanam-do,2016-01-02,7.1,63.8
60000,Gyeongsangbuk-do,2016-01-02,7.5,50.5
61000,Gyeongsangnam-do,2016-01-02,4.3,67.6
70000,Jeju-do,2016-01-02,12.5,62.6
10000,Seoul,2016-01-03,6.5,80.6
11000,Busan,2016-01-03,11.4,68.3
12000,Daegu,2016-01-03,4.9,77
13000,Gwangju,2016-01-03,7.3,78.9
14000,Incheon,2016-01-03,5.9,98
15000,Daejeon,2016-01-03,6.9,83.5
16000,Ulsan,2016-01-03,7,76.4
20000,Gyeonggi-do,2016-01-03,6,92.1
30000,Gangwon-do,2016-01-03,9,55.8
40000,Chungcheongbuk-do,2016-01-03,3.6,81
41000,Chungcheongnam-do,2016-01-03,6.2,93.4
50000,Jeollabuk-do,2016-01-03,8.4,81.1
51000,Jeollanam-do,2016-01-03,9.1,72.4
60000,Gyeongsangbuk-do,2016-01-03,9.2,53.3
61000,Gyeongsangnam-do,2016-01-03,6.7,77.5
70000,Jeju-do,2016-01-03,13,67
10000,Seoul,2016-01-04,2,54.4
11000,Busan,2016-01-04,10.4,46.3
12000,Daegu,2016-01-04,5.8,58.1
13000,Gwangju,2016-01-04,6.4,66.5
14000,Incheon,2016-01-04,2.2,72.9
15000,Daejeon,2016-01-04,5.1,62.5
16000,Ulsan,2016-01-04,7.7,52.8
20000,Gyeonggi-do,2016-01-04,3.7,54.4
30000,Gangwon-do,2016-01-04,7.4,33.8
40000,Chungcheongbuk-do,2016-01-04,3.9,54.3
41000,Chungcheongnam-do,2016-01-04,2.8,73.6
50000,Jeollabuk-do,2016-01-04,5.9,70.1
51000,Jeollanam-do,2016-01-04,9.9,40.1
60000,Gyeongsangbuk-do,2016-01-04,7.7,41
61000,Gyeongsangnam-do,2016-01-04,7.5,55.1
70000,Jeju-do,2016-01-04,11.7,66.3
10000,Seoul,2016-01-05,-2.7,39.4
11000,Busan,2016-01-05,5.3,40.9
12000,Daegu,2016-01-05,2.9,29.4
13000,Gwangju,2016-01-05,2.4,40.3
14000,Incheon,2016-01-05,-1.9,46.3
15000,Daejeon,2016-01-05,-0.6,45.4
16000,Ulsan,2016-01-05,3.9,31.9
20000,Gyeonggi-do,2016-01-05,-1.1,39.6
30000,Gangwon-do,2016-01-05,3,16.3
